# Wavelength (um) 	 Transit depth
0.2364904813 	 0.0143784390
0.2365464222 	 0.0143783549
0.2366023897 	 0.0143782319
0.2366583836 	 0.0143781486
0.2367144041 	 0.0143780646
0.2367704510 	 0.0143779506
0.2368265246 	 0.0143778474
0.2368826247 	 0.0143777677
0.2369387513 	 0.0143776595
0.2369949046 	 0.0143775682
0.2370510845 	 0.0143774786
0.2371072911 	 0.0143773911
0.2371635243 	 0.0143772798
0.2372197841 	 0.0143771805
0.2372760707 	 0.0143770908
0.2373323840 	 0.0143770047
0.2373887240 	 0.0143769647
0.2374450908 	 0.0144119374
0.2375014844 	 0.0143767124
0.2375579047 	 0.0143766171
0.2376143519 	 0.0143765009
0.2376708259 	 0.0143764124
0.2377273268 	 0.0143763101
0.2377838545 	 0.0143762123
0.2378404091 	 0.0143761405
0.2378969906 	 0.0143760299
0.2379535990 	 0.0143759339
0.2380102344 	 0.0143758270
0.2380668968 	 0.0143757423
0.2381235861 	 0.0143756584
0.2381803025 	 0.0143755429
0.2382370459 	 0.0143754621
0.2382938163 	 0.0143753384
0.2383506137 	 0.0143752628
0.2384074383 	 0.0143751497
0.2384642900 	 0.0143750635
0.2385211688 	 0.0143749601
0.2385780747 	 0.0143748586
0.2386350078 	 0.0143747788
0.2386919680 	 0.0143746876
0.2387489555 	 0.0143745769
0.2388059701 	 0.0143744986
0.2388630121 	 0.0143743969
0.2389200812 	 0.0143743064
0.2389771777 	 0.0143741879
0.2390343014 	 0.0143740984
0.2390914525 	 0.0143739960
0.2391486309 	 0.0143739041
0.2392058366 	 0.0143738109
0.2392630698 	 0.0143737061
0.2393203303 	 0.0143736278
0.2393776182 	 0.0143735142
0.2394349336 	 0.0143734417
0.2394922764 	 0.0144138142
0.2395496467 	 0.0143733233
0.2396070445 	 0.0143731536
0.2396644697 	 0.0143730252
0.2397219226 	 0.0143729384
0.2397794029 	 0.0143728478
0.2398369109 	 0.0143727419
0.2398944464 	 0.0143726561
0.2399520096 	 0.0143725555
0.2400096004 	 0.0143724461
0.2400672188 	 0.0143723591
0.2401248649 	 0.0143722573
0.2401825387 	 0.0143721690
0.2402402402 	 0.0143720815
0.2402979695 	 0.0143719740
0.2403557265 	 0.0143718672
0.2404135112 	 0.0143717877
0.2404713238 	 0.0143716962
0.2405291642 	 0.0143715971
0.2405870324 	 0.0143714830
0.2406449284 	 0.0143713927
0.2407028523 	 0.0143713046
0.2407608041 	 0.0143711879
0.2408187839 	 0.0143711028
0.2408767915 	 0.0143710039
0.2409348271 	 0.0143709180
0.2409928907 	 0.0143708214
0.2410509823 	 0.0143707278
0.2411091019 	 0.0143706419
0.2411672495 	 0.0143705359
0.2412254252 	 0.0143704277
0.2412836289 	 0.0143703333
0.2413418607 	 0.0143702407
0.2414001207 	 0.0143701498
0.2414584088 	 0.0143700489
0.2415167250 	 0.0143699486
0.2415750695 	 0.0143698665
0.2416334421 	 0.0143697550
0.2416918429 	 0.0143696576
0.2417502720 	 0.0143695716
0.2418087293 	 0.0143694888
0.2418672149 	 0.0143693651
0.2419257288 	 0.0143692770
0.2419842710 	 0.0143691974
